timestamp,revid,parentid,sock,user,page,message
2019-03-17T17:07:47+00:00,888208585,888183665,1,Stacey196,User talk:Stacey196,
2019-03-17T13:47:28+00:00,888182933,888182251,1,Stacey196,User talk:Stacey196,/* Re-deletion of Tyler Morris */
2019-03-17T04:00:28+00:00,888134412,888122690,1,Stacey196,User talk:JJMC89,/* Undeleting A Page That Was Falsely Deleted */ new section
2019-03-17T03:59:12+00:00,888134277,888133443,1,Stacey196,User talk:TonyBallioni,/* Tyler Morris Page Undelete Falsely Deleted */
2019-03-17T03:56:54+00:00,888134039,888134006,1,Stacey196,Wikipedia:Articles for deletion/Tyler Morris,Undid revision 885776581 by [[Special:Contributions/Sandstein|Sandstein]] ([[User talk:Sandstein|talk]])
2019-03-17T03:56:38+00:00,888134006,888133995,1,Stacey196,Wikipedia:Articles for deletion/Tyler Morris,Undid revision 886934021 by [[Special:Contributions/SS49|SS49]] ([[User talk:SS49|talk]])
2019-03-17T03:56:31+00:00,888133995,888133740,1,Stacey196,Wikipedia:Articles for deletion/Tyler Morris,Undid revision 886962988 by [[Special:Contributions/TonyBallioni|TonyBallioni]] ([[User talk:TonyBallioni|talk]])
2019-03-17T03:52:51+00:00,888133573,886962988,1,Stacey196,Wikipedia:Articles for deletion/Tyler Morris,Undid revision 886962988 by [[Special:Contributions/TonyBallioni|TonyBallioni]] ([[User talk:TonyBallioni|talk]])
2019-03-17T03:51:03+00:00,888133397,888000707,1,Stacey196,User talk:Doomsdayer520,/* Tyler Morris Page Falsely Deleted */ new section
2019-03-17T03:50:27+00:00,888133340,888120173,1,Stacey196,User talk:TonyBallioni,/* Tyler Morris Page Undelete Falsely Deleted */ new section
2017-10-06T03:40:53+00:00,804013139,803209593,1,Stacey196,Beaver Country Day School,Undid revision 802126149 by [[Special:Contributions/Strahonnen|Strahonnen]] ([[User talk:Strahonnen|talk]])
2017-10-01T04:17:09+00:00,803210114,0,1,Stacey196,User talk:Strahonnen,[[WP:AES|←]]Created page with 'References must be provided for your changes.'
2019-03-17T14:21:02+00:00,888186772,888184217,1,BobKelley,User talk:BobKelley,
2019-03-17T13:50:54+00:00,888183299,888176342,1,BobKelley,User talk:BobKelley,
2019-03-17T13:44:11+00:00,888182618,888181763,1,BobKelley,User talk:C.Fred,/* You've got mail */ new section
2019-03-17T13:40:33+00:00,888182251,888181116,1,BobKelley,User talk:Stacey196,/* Re-deletion of Tyler Morris */
2019-03-17T13:35:26+00:00,888181763,888181295,1,BobKelley,User talk:C.Fred,/* Falsely Deleted Page */
2019-03-17T13:32:38+00:00,888181471,888173723,1,BobKelley,User talk:Jovanmilic97,/* Need Help With Page You Requested For Speedy Deletion */ new section
2019-03-17T13:31:37+00:00,888181344,888173524,1,BobKelley,User talk:TonyBallioni,
2019-03-17T13:26:09+00:00,888180720,888062537,1,BobKelley,User talk:C.Fred,/* Falsely Deleted Page */ new section
2019-03-17T13:22:20+00:00,888180329,887922748,1,BobKelley,User talk:Serial Number 54129,/* Need Help With Page You Requested For Speedy Deletion */ new section
2017-09-03T00:22:15+00:00,798625899,794566978,1,BobKelley,Beaver Country Day School,
2017-11-12T02:36:51+00:00,809884001,809833463,0,Lowercase sigmabot III,User talk:C.Fred,Archiving 4 discussion(s) to [[User talk:C.Fred/Archive 22]]) (bot
2018-01-03T05:53:11+00:00,818379921,815934878,0,Strahonnen,Beaver Country Day School,
2017-10-04T03:46:52+00:00,803711115,803624947,0,Lowercase sigmabot III,User talk:Doomsdayer520,Archiving 1 discussion(s) to [[User talk:Doomsdayer520/Archive 3]]) (bot
2018-08-27T03:18:25+00:00,856714740,856571471,0,Lowercase sigmabot III,User talk:Doomsdayer520,Archiving 1 discussion(s) to [[User talk:Doomsdayer520/Archive 4]]) (bot
2018-04-24T01:49:19+00:00,837958622,837958498,0,Sharkslayer87,User talk:C.Fred,/* Remove the unreferenced tag */ new section
2016-07-10T19:02:11+00:00,729218832,0,0,Amaury,User talk:Jovanmilic97,General note: Addition of unsourced or improperly cited material on [[Make It Pop]]. ([[WP:TW|TW]])
2018-10-21T13:05:58+00:00,865060474,865031048,0,C.Fred,User talk:C.Fred,/* Slow Jam definition */ r
2018-03-03T16:53:01+00:00,828606916,828359096,0,YESYESGIRL1980,User talk:C.Fred,/* Lol */ new section
2018-08-25T05:00:52+00:00,856434518,856434139,0,71.204.167.134,Beaver Country Day School,/* Notable alumni */
