timestamp,revid,parentid,sock,user,page,message
2018-08-21T07:31:23+00:00,855850851,854143085,1,Tabuhart,User talk:Tabuhart,Comments
2018-08-02T09:08:40+00:00,853080419,852684642,1,Tabuhart,User talk:Tabuhart,Unblock Request
2018-07-30T04:54:28+00:00,852609726,847685587,1,Tabuhart,User:Tabuhart,COI {{Paid}}
2018-07-30T04:05:06+00:00,852605583,852605355,1,Tabuhart,User talk:Tabuhart,/* Conflict of interest noticeboard discussion */
2018-07-30T04:02:32+00:00,852605355,852584682,1,Tabuhart,User talk:Tabuhart,/* Conflict of interest noticeboard discussion */
2018-07-29T06:50:15+00:00,852474696,852393197,1,Tabuhart,User talk:Tabuhart,/* Are you a paid editor */
2018-07-26T19:24:18+00:00,852119979,851443153,1,Tabuhart,World News Today,
2018-07-26T19:16:23+00:00,852119001,852118443,1,Tabuhart,Nancy Kacungira,/* Career */ copy edit
2018-07-26T19:11:38+00:00,852118443,852047237,1,Tabuhart,Nancy Kacungira,"/* References */ code repair, copy edit"
2018-07-26T19:06:55+00:00,852117887,852117551,1,Tabuhart,Philippa Thomas,/* External links */ code repair and red link
2018-07-26T19:04:12+00:00,852117551,851595238,1,Tabuhart,Philippa Thomas,/* External links */
2018-07-26T16:15:48+00:00,852097245,823274364,1,Tabuhart,A Dog Story,/* External links */ imdb
2018-07-26T16:02:03+00:00,852095571,852091480,1,Tabuhart,Wikipedia:WikiProject Articles for creation/Help desk,"/* 04:13:01, 26 July 2018 review of submission by Tabuhart */"
2018-07-26T04:22:29+00:00,852027299,852026613,1,Tabuhart,Wikipedia:WikiProject Articles for creation/Help desk,"/* 04:13:01, 26 July 2018 review of submission by Tabuhart */"
2018-07-26T04:13:02+00:00,852026613,852021452,1,Tabuhart,Wikipedia:WikiProject Articles for creation/Help desk,
2018-07-25T14:30:04+00:00,851934198,851933774,1,Tabuhart,Housen Mushema,/* Modeling */
2018-07-25T14:27:18+00:00,851933774,851011982,1,Tabuhart,Housen Mushema,
2018-07-25T08:49:31+00:00,851898636,851472042,1,Tabuhart,Wikipedia:Requests for permissions/New page reviewer,
2018-07-23T18:17:58+00:00,851652025,844932688,1,Tabuhart,Flavia Tumusiime,Copy Edit
2018-07-23T18:08:46+00:00,851650824,851649777,1,Tabuhart,Jackie Lumbasi,
2018-07-23T18:00:58+00:00,851649777,851400684,1,Tabuhart,Jackie Lumbasi,
2018-07-23T03:29:45+00:00,851558125,851164068,1,Tabuhart,Wikipedia talk:WikiProject Articles for creation/Participants,/* July */
2018-07-22T01:27:05+00:00,851400684,851400037,1,Tabuhart,Jackie Lumbasi,/* Awards and Nominations */
2018-07-22T01:20:25+00:00,851400037,848953679,1,Tabuhart,Jackie Lumbasi,/* Personal life */ Awards
2018-07-21T14:21:37+00:00,851323050,850346063,1,Tabuhart,Abryanz Style and Fashion Awards 2016,
2018-07-21T14:18:48+00:00,851322657,847230800,1,Tabuhart,"King's College, Budo",/* Business */
2018-07-21T14:17:23+00:00,851322456,849901364,1,Tabuhart,Makerere University,/* Others */
2018-07-21T06:38:58+00:00,851277638,850089312,1,Tabuhart,Rehema Nanfuka,added [[Category:Ugandan women film directors]] using [[WP:HC|HotCat]]
2018-07-21T06:38:07+00:00,851277574,849110928,1,Tabuhart,Nana Kagga,added [[Category:Ugandan women film directors]] using [[WP:HC|HotCat]]
2018-07-18T11:10:56+00:00,850852475,850851894,1,Tabuhart,User talk:Tabuhart,/* Draft:Orange Justice */
2018-07-18T07:52:56+00:00,850835270,849779510,1,Tabuhart,User talk:Tabuhart,
2018-07-15T08:55:28+00:00,850346063,850275589,1,Tabuhart,Abryanz Style and Fashion Awards 2016,/* Nominees and winners */
