timestamp,revid,parentid,sock,user,page,message
2017-04-11T03:52:39+00:00,774863701,774193886,1,Tex_Goldstein,Flight attendant,
2017-04-11T11:39:17+00:00,774901508,774867720,1,CE_Woolman,MileagePlus,Spelling errors
2017-04-11T04:19:49+00:00,774866045,748028629,1,CE_Woolman,Robert Milton,
2017-04-11T04:24:44+00:00,774866429,774844513,1,OhareDelays,United Airlines Holdings,
2017-04-11T11:37:28+00:00,774901369,774876156,1,PJ_717,United Airlines Holdings,
2017-04-11T06:18:19+00:00,774875631,774867396,1,PJ_717,United Airlines Holdings,Oxford comma changes
2017-04-11T04:44:39+00:00,774868079,774867993,1,T-BoneIce,Southwest Airlines,
2017-04-11T04:43:22+00:00,774867972,774867819,1,T-BoneIce,Southwest Airlines,Undid revision 774867819 by [[Special:Contributions/KH-1|KH-1]] ([[User talk:KH-1|talk]]) suspected vandalism
2017-04-11T04:38:42+00:00,774867595,774271687,1,T-BoneIce,MileagePlus,
2017-04-11T04:34:46+00:00,774867275,774863701,0,KH-1,Flight attendant,Reverted edits by [[Special:Contribs/Tex Goldstein|Tex Goldstein]] ([[User talk:Tex Goldstein|talk]]) to last version by Headbomb
2017-04-11T04:40:19+00:00,774867720,774867595,0,KH-1,MileagePlus,Reverted edits by [[Special:Contribs/T-BoneIce|T-BoneIce]] ([[User talk:T-BoneIce|talk]]) to last version by Feminist
2017-04-11T06:25:35+00:00,774876156,774875631,0,KH-1,United Airlines Holdings,Reverted edits by [[Special:Contribs/PJ 717|PJ 717]] ([[User talk:PJ 717|talk]]) to last version by KH-1
2017-04-11T04:45:28+00:00,774868141,774868079,0,KH-1,Southwest Airlines,Reverted edits by [[Special:Contribs/T-BoneIce|T-BoneIce]] ([[User talk:T-BoneIce|talk]]) to last version by KH-1
2017-04-11T04:19:49+00:00,774866045,748028629,0,CE Woolman,Robert Milton,
2017-04-07T10:11:42+00:00,774271687,772047027,0,Feminist,MileagePlus,/* top */ from [[Copa Airlines]]
2016-11-05T22:37:25+00:00,748028629,745210681,0,2602:306:36C6:5EC0:74B8:7963:79E2:383F,Robert Milton,Updating.
2017-04-11T06:18:19+00:00,774875631,774867396,0,PJ 717,United Airlines Holdings,Oxford comma changes
2017-04-11T04:36:05+00:00,774867396,774866429,0,KH-1,United Airlines Holdings,Reverted edits by [[Special:Contribs/OhareDelays|OhareDelays]] ([[User talk:OhareDelays|talk]]) to last version by A Great Catholic Person
2017-01-15T09:12:04+00:00,760157650,751096480,0,Bender the Bot,United Airlines Holdings,/* Development */HTTP&rarr;HTTPS for [[Yahoo!]] using [[Project:AWB|AWB]]
2017-02-18T17:16:41+00:00,766169174,765938287,0,GreenC bot,Southwest Airlines,Reformat 1 archive link. [[User:Green Cardamom/WaybackMedic_2.1|Wayback Medic 2.1]]
2017-02-15T07:46:31+00:00,765587928,726425779,0,Jimfbleak,MileagePlus,"entirely unsourced, clearly promotional and excessive detail"
2016-06-22T02:57:02+00:00,726425779,725536989,0,97.85.118.142,MileagePlus,"/* Partner airlines */ even though Copa has its own FFP, it is still a MileagePlus partner carrier"
2017-01-09T05:21:57+00:00,759094932,759090098,0,Sunnya343,Southwest Airlines,"Undid revision 759090098 by [[Special:Contributions/74.96.229.106|74.96.229.106]] ([[User talk:74.96.229.106|talk]]) We can't just add these for no reason. See the ref in the ""Destinations"" section."
2016-11-16T19:00:34+00:00,749897839,747626367,0,79.146.23.135,Flight attendant,/* History */Hyperlink added
2017-03-11T00:25:28+00:00,769678773,766999709,0,208.59.142.51,United Airlines Holdings,
2017-01-20T04:37:25+00:00,760980676,760980466,0,Hifrommike65,Flight attendant,/* History */
2017-04-04T23:20:15+00:00,773877833,772382516,0,2601:243:1501:C840:284C:A38D:E848:8EB6,United Airlines Holdings,/* Hubs */Typo
2017-02-23T10:56:06+00:00,766999709,760157650,0,Bender the Bot,United Airlines Holdings,/* Development */HTTP&rarr;HTTPS for [[The New York Times]]. using [[Project:AWB|AWB]]
