timestamp,revid,parentid,sock,user,page,message
2017-12-17T03:46:56+00:00,815786243,815786141,1,Trzalesny,PJ Masks,
2017-12-17T03:45:22+00:00,815786118,815785724,1,Trzalesny,PJ Masks,
2017-12-17T03:31:46+00:00,815784805,812611736,1,Trzalesny,List of Homestuck characters,
2017-12-17T03:09:48+00:00,815782479,815782299,1,Trzalesny,PJ Masks,/* Villains */
2017-12-17T03:08:18+00:00,815782299,815724571,1,Trzalesny,PJ Masks,
2017-12-17T03:41:17+00:00,815785724,815785533,1,HauntedHope,PJ Masks,
2017-12-17T03:39:30+00:00,815785533,815785428,1,HauntedHope,PJ Masks,
2017-12-17T03:38:27+00:00,815785428,815785361,1,HauntedHope,PJ Masks,
2017-12-17T03:37:54+00:00,815785361,815782479,1,HauntedHope,PJ Masks,
2017-12-17T03:33:51+00:00,815784997,815784805,0,Oshwah,List of Homestuck characters,Reverted edits by [[Special:Contributions/Trzalesny|Trzalesny]] ([[User talk:Trzalesny|talk]]) ([[WP:HG|HG]]) (3.3.3)
2017-11-28T21:13:00+00:00,812611736,812611728,0,ClueBot NG,List of Homestuck characters,"Reverting possible vandalism by [[Special:Contribs/2601:405:8402:FB60:BC40:85AF:D5F:65C6|2601:405:8402:FB60:BC40:85AF:D5F:65C6]] to version by BeywheelzLetItRip. [[WP:CBFP|Report False Positive?]] Thanks, [[WP:CBNG|ClueBot NG]]. (3204736) (Bot)"
2017-12-17T03:45:41+00:00,815786141,815786118,0,Oshwah,PJ Masks,Reverted edits by [[Special:Contributions/Trzalesny|Trzalesny]] ([[User talk:Trzalesny|talk]]) ([[WP:HG|HG]]) (3.3.3)
2017-12-02T05:29:25+00:00,813169356,813127350,0,Suvarnamorey,PJ Masks,
2017-12-06T01:12:20+00:00,813937719,813234451,0,108.44.25.145,PJ Masks,
2017-12-13T06:37:12+00:00,815177816,814791665,0,2601:1C0:6A00:C0F2:DCAE:8714:EF3C:8140,PJ Masks,Removed a sentence that was poorly worded and largely irrelevent to the plot section.
2017-12-02T16:14:07+00:00,813234451,813169356,0,186.90.102.125,PJ Masks,/* Series overview */
2017-11-28T00:41:47+00:00,812469149,812103234,0,2600:1700:F930:7040:AD3E:6AF0:F00:8209,PJ Masks,/* External links */
2017-12-01T00:14:24+00:00,812975585,812975428,0,190.37.38.106,PJ Masks,/* Shorts (2017) */
2017-12-10T23:34:26+00:00,814791665,813937719,0,2601:88:8003:254E:A956:232E:9A81:7015,PJ Masks,/* External links */
