timestamp,revid,parentid,sock,user,page,message
2023-02-14T07:31:16+00:00,1139271263,1139233561,1,VBBIHFudbalFan,Obrad Bejatovic,
2023-02-13T22:41:59+00:00,1139201803,1139200006,1,VBBIHFudbalFan,Obrad Bejatovic,Undid revision 1139200006 by [[Special:Contributions/VBBIHFudbalFan|VBBIHFudbalFan]] ([[User talk:VBBIHFudbalFan|talk]])
2023-02-13T22:32:39+00:00,1139200382,1139186183,1,VBBIHFudbalFan,Talk:Obrad Bejatovic,[[WP:AES|←]]Replaced content with '== Draft Page =='
2023-02-13T22:30:17+00:00,1139200006,1139182745,1,VBBIHFudbalFan,Obrad Bejatovic,
2023-02-13T19:42:37+00:00,1139173815,1139173587,1,VBBIHFudbalFan,Talk:Obrad Bejatovic,/* Draft Page */ new section
2023-02-13T19:40:51+00:00,1139173587,1139173474,1,VBBIHFudbalFan,Talk:Obrad Bejatovic,[[WP:AES|←]]Blanked the page
2023-02-13T19:39:55+00:00,1139173474,0,1,VBBIHFudbalFan,Talk:Obrad Bejatovic,"[[WP:AES|←]]Created page with '{{WikiProject banner shell|1= {{WikiProject Articles for creation|class=C|ts=20220213203920|reviewer=Pichemist|oldid=1121123505}} {{WikiProject Biography|living=yes|class=C|listas=Bejatovic, Obrad}} {{WikiProject Canada |mb=yes|sport=yes|class=C|importance=low}} {{WikiProject Football|class=C|importance=low|Canada=yes}} | blp=yes }}'"
2023-02-13T19:38:22+00:00,1139173259,1139173017,1,VBBIHFudbalFan,Obrad Bejatovic,
2023-02-13T19:36:27+00:00,1139173017,1139172976,1,VBBIHFudbalFan,Obrad Bejatovic,
2023-02-13T19:36:09+00:00,1139172976,1139172703,1,VBBIHFudbalFan,Obrad Bejatovic,
2023-02-13T19:34:46+00:00,1139172802,1138045361,1,VBBIHFudbalFan,User talk:VBBIHFudbalFan,
2023-02-13T19:34:04+00:00,1139172703,1139172276,1,VBBIHFudbalFan,Obrad Bejatovic,
2023-02-13T19:31:26+00:00,1139172276,0,1,VBBIHFudbalFan,Obrad Bejatovic,"[[WP:AES|←]]Created page with '{{Draft topics|biography}} {{AfC topic|blp}} {{AfC submission|||ts=20230213192434|u=VBBIHFudbalFan|ns=118}}<!-- Do not remove this line! -->   {{Infobox football biography | name = Obrad Bejatović | fullname = Obrad Bejatović | birth_date = 21 August, 2003 | birth_place = Mississauga, Ontario | height = 1.94 m (6 ft 4 in) | position = Goalkeeper | currentclub = FK Leotar | clubs1 = Serbian White Eagles FC | clubs2 = Hamilton United | clubs3 = FK Hercegova...'"
2023-02-13T19:28:28+00:00,1139171825,1139171527,1,VBBIHFudbalFan,Obrad Bejatovic,
2023-02-13T19:24:34+00:00,1139171219,1139170918,1,VBBIHFudbalFan,Obrad Bejatovic,Submitting using [[WP:AFCSW|AfC-submit-wizard]]
2023-02-13T19:22:32+00:00,1139170918,1139005210,1,VBBIHFudbalFan,Obrad Bejatovic,
2023-02-12T21:37:51+00:00,1139005210,1138799729,1,VBBIHFudbalFan,Obrad Bejatovic,/* Club Career */
2023-02-11T18:00:10+00:00,1138799729,1138633788,1,VBBIHFudbalFan,Obrad Bejatovic,Submitting using [[WP:AFCSW|AfC-submit-wizard]]
2023-02-10T18:59:58+00:00,1138633788,1138633467,1,VBBIHFudbalFan,Obrad Bejatovic,/* University Career */
2023-02-10T18:57:51+00:00,1138633467,1138627143,1,VBBIHFudbalFan,Obrad Bejatovic,
2023-02-10T18:11:50+00:00,1138627143,1137819706,1,VBBIHFudbalFan,Obrad Bejatovic,
2022-11-06T09:56:46+00:00,1120312629,1120311922,1,VBBIHFudbalFan,Obrad Bejatovic,/* Early life */
2022-11-06T09:49:55+00:00,1120311922,1120311783,1,VBBIHFudbalFan,Obrad Bejatovic,/* Early life */
2022-11-06T09:48:39+00:00,1120311783,1120311607,1,VBBIHFudbalFan,Obrad Bejatovic,/* Early life */
2022-11-06T09:46:52+00:00,1120311607,1116385845,1,VBBIHFudbalFan,Obrad Bejatovic,/* Professional Career */
2022-10-16T17:18:35+00:00,1116454182,1116244069,1,VBBIHFudbalFan,Wikipedia:Changing username/Simple,
2022-10-15T07:41:17+00:00,1116183574,1116182556,1,VBBIHFudbalFan,Obrad Bejatovic,/* Early life */ changes to career and time periods
2022-10-15T07:31:18+00:00,1116182556,1116181736,1,VBBIHFudbalFan,Obrad Bejatovic,
2022-10-15T07:23:31+00:00,1116181736,1116181695,1,VBBIHFudbalFan,Obrad Bejatovic,
