timestamp,revid,parentid,sock,user,page,message
2017-12-13T07:34:50+00:00,815183633,815183085,1,WikiEditsAnnon,User talk:WikiEditsAnnon,/* Unblock (additional information) */ new section
2017-12-13T07:28:35+00:00,815183085,815088499,1,WikiEditsAnnon,User talk:WikiEditsAnnon,/* Unblock */ new section
2017-12-12T17:03:49+00:00,815078796,815077849,1,WikiEditsAnnon,User talk:WikiEditsAnnon,/* December 2017 */
2017-12-12T16:57:52+00:00,815077998,815077767,1,WikiEditsAnnon,User talk:SkyWarrior,
2017-12-12T16:55:58+00:00,815077767,815077372,1,WikiEditsAnnon,User talk:SkyWarrior,
2017-12-12T16:51:46+00:00,815077245,814942787,1,WikiEditsAnnon,User talk:SkyWarrior,
2017-12-12T16:49:23+00:00,815076969,815075328,1,WikiEditsAnnon,User talk:Walter Görlitz/Archived Talk to 2017-12,
2017-12-12T16:47:49+00:00,815076759,815076366,1,WikiEditsAnnon,Twenty One Pilots,/* Timeline */
2017-12-12T16:44:48+00:00,815076366,815075175,1,WikiEditsAnnon,Twenty One Pilots,/* Band members */Walter Göritz do you really want to go there?
2017-12-12T16:28:34+00:00,815074182,814908423,1,WikiEditsAnnon,User talk:Serols,Walter Göritz
2017-12-12T16:25:49+00:00,815073813,815067722,1,WikiEditsAnnon,Busted (band),"/* Members */Walter Göritz - a trusted user - keeps vandalising pages, taking timelines down."
2017-12-12T16:17:03+00:00,815072609,815070190,1,WikiEditsAnnon,User talk:Walter Görlitz/Archived Talk to 2017-12,
2017-12-12T16:14:03+00:00,815072211,815071986,1,WikiEditsAnnon,Twenty One Pilots,/* Band members */
2017-12-12T16:12:17+00:00,815071986,815071879,1,WikiEditsAnnon,Twenty One Pilots,/* Timeline */
2017-12-12T16:11:27+00:00,815071879,815071660,1,WikiEditsAnnon,Twenty One Pilots,/* Timeline */
2017-12-12T16:09:55+00:00,815071660,815071331,1,WikiEditsAnnon,Twenty One Pilots,/* Timeline */
2017-12-12T16:07:33+00:00,815071331,815070859,1,WikiEditsAnnon,Twenty One Pilots,/* Timeline */
2017-12-12T16:06:23+00:00,815071143,814147904,1,WikiEditsAnnon,User:Walter Görlitz,FIX tØP timeline
2017-12-12T16:04:15+00:00,815070859,815070281,1,WikiEditsAnnon,Twenty One Pilots,/* Band members */
2017-12-12T15:58:34+00:00,815070069,814697734,1,WikiEditsAnnon,User talk:Walter Görlitz/Archived Talk to 2017-12,TØP TIMELINE
2017-12-12T15:57:17+00:00,815069896,815067359,1,WikiEditsAnnon,Twenty One Pilots,/* Band members */  added timeline
2017-12-12T15:35:31+00:00,815067263,815066944,1,WikiEditsAnnon,Twenty One Pilots,/* Timeline */
2017-12-12T15:33:06+00:00,815066944,812971743,1,WikiEditsAnnon,Twenty One Pilots,/* Band members */
2017-12-11T19:46:12+00:00,814936289,814936172,1,WikiEditsAnnon,Brand New (band),/* Timeline */
2017-12-11T19:45:31+00:00,814936172,814935977,1,WikiEditsAnnon,Brand New (band),/* Timeline */
2017-12-11T19:44:15+00:00,814935977,814935763,1,WikiEditsAnnon,Brand New (band),/* Band members */
2017-12-11T19:42:50+00:00,814935763,814935616,1,WikiEditsAnnon,Brand New (band),/* Band members */
2017-12-11T19:41:58+00:00,814935616,814935414,1,WikiEditsAnnon,Brand New (band),/* Band members */
2017-12-11T19:40:39+00:00,814935414,814935039,1,WikiEditsAnnon,Brand New (band),/* Band members */
2017-12-11T19:38:29+00:00,814935039,814229964,1,WikiEditsAnnon,Brand New (band),/* Band members */Added timeline
2017-12-11T09:15:55+00:00,814854372,813322858,1,WikiEditsAnnon,Panic! at the Disco discography,/* Singles */
2017-12-11T09:03:53+00:00,814852691,814761920,1,WikiEditsAnnon,Busted (band),/* Members */
2017-12-10T16:03:37+00:00,814731919,814731849,1,WikiEditsAnnon,Busted (band),/* Members */
2017-12-10T16:03:08+00:00,814731849,814731306,1,WikiEditsAnnon,Busted (band),/* Members */
2017-12-10T15:59:12+00:00,814731306,814730914,1,WikiEditsAnnon,Busted (band),/* Members */
2017-12-10T15:56:25+00:00,814730914,814728870,1,WikiEditsAnnon,Busted (band),/* Members */
2017-12-10T15:40:54+00:00,814728870,814728603,1,WikiEditsAnnon,Busted (band),/* Members */
2017-12-10T15:38:48+00:00,814728603,814728420,1,WikiEditsAnnon,Busted (band),/* Members */
2017-12-10T15:37:16+00:00,814728420,814728345,1,WikiEditsAnnon,Busted (band),/* Members */
2017-12-10T15:36:41+00:00,814728345,813298622,1,WikiEditsAnnon,Busted (band),/* Members */
2017-12-10T10:34:48+00:00,814696572,814696321,1,WikiEditsAnnon,The All-American Rejects,
2017-12-10T10:31:58+00:00,814696321,814509120,1,WikiEditsAnnon,The All-American Rejects,Grammar and factuAl errors. By kiddo
2017-12-10T10:28:18+00:00,814696037,813073906,1,WikiEditsAnnon,The All-American Rejects discography,
2017-12-09T21:07:52+00:00,814606422,814437884,1,WikiEditsAnnon,The Drug in Me Is You (song),
2017-12-09T09:57:19+00:00,814528064,814527765,1,WikiEditsAnnon,My Chemical Romance,
2017-12-09T09:54:05+00:00,814527765,811028316,1,WikiEditsAnnon,My Chemical Romance,
2017-12-04T10:56:13+00:00,813620287,813620175,1,WikiEditsAnnon,The Middle (Jimmy Eat World song),
2017-12-04T10:55:03+00:00,813620175,795456070,1,WikiEditsAnnon,The Middle (Jimmy Eat World song),
2017-12-04T10:53:55+00:00,813620078,813620009,1,WikiEditsAnnon,Jimmy Eat World,
2017-12-04T10:53:05+00:00,813620009,812055992,1,WikiEditsAnnon,Jimmy Eat World,
2017-12-04T07:52:08+00:00,813602741,813602611,1,WikiEditsAnnon,Chuck Comeau,
2017-12-04T07:50:38+00:00,813602611,808841410,1,WikiEditsAnnon,Chuck Comeau,
2017-12-02T20:33:58+00:00,813270695,811977823,1,WikiEditsAnnon,Deryck Whibley,Cone is as always still in Sum 41
2017-12-02T20:29:42+00:00,813270033,793945206,1,WikiEditsAnnon,MxPx discography,
2017-12-01T23:39:36+00:00,813131564,809765012,1,WikiEditsAnnon,Lit discography,
2017-11-26T18:09:00+00:00,812217992,812100567,1,WikiEditsAnnon,Falling in Reverse,/* Band members */Reverted vandalism by Bowling Is Life
2017-11-25T14:33:21+00:00,812026281,811045865,1,WikiEditsAnnon,User talk:Bowling is life,/* New Found Glory */ new section
