timestamp,revid,parentid,sock,user,page,message
2020-01-27T17:33:59+00:00,937859333,937858719,1,XARyz,A. R. Rahman,/* Sufi Music */
2020-01-27T17:29:50+00:00,937858719,937858475,1,XARyz,A. R. Rahman,/* Sufi Music */
2020-01-27T17:28:05+00:00,937858475,937858335,1,XARyz,A. R. Rahman,
2020-01-27T17:26:50+00:00,937858335,937858255,1,XARyz,A. R. Rahman,/* Sufi Music */
2020-01-27T17:26:07+00:00,937858255,937857688,1,XARyz,A. R. Rahman,/* Sufi Music */
2020-01-27T17:21:29+00:00,937857688,937857381,1,XARyz,A. R. Rahman,
2020-01-27T17:19:09+00:00,937857381,937473808,1,XARyz,A. R. Rahman,
2020-01-27T06:18:24+00:00,937788252,937644261,1,XARyz,Bigil,
2020-01-26T13:06:52+00:00,937667449,937629956,1,XARyz,A. R. Rahman discography,
2020-01-26T05:59:56+00:00,937629956,937568474,1,XARyz,A. R. Rahman discography,
2020-01-25T16:39:42+00:00,937530766,937530517,1,XARyz,A. R. Rahman discography,
2020-01-25T16:37:47+00:00,937530517,937530166,1,XARyz,A. R. Rahman discography,
2020-01-25T16:34:49+00:00,937530166,937529564,1,XARyz,A. R. Rahman discography,
2020-01-25T16:30:04+00:00,937529564,937529287,1,XARyz,A. R. Rahman discography,
2020-01-25T16:27:58+00:00,937529287,937506655,1,XARyz,A. R. Rahman discography,
2020-01-25T11:37:48+00:00,937497304,937497224,1,XARyz,A. R. Rahman discography,
2020-01-25T11:36:58+00:00,937497224,937497170,1,XARyz,A. R. Rahman discography,
2020-01-25T11:36:16+00:00,937497170,937496511,1,XARyz,A. R. Rahman discography,
2020-01-25T11:28:50+00:00,937496511,936313063,1,XARyz,A. R. Rahman discography,/* Discography as playback singer */
2020-01-25T07:20:48+00:00,937473808,937472245,1,XARyz,A. R. Rahman,/* Interview */
2020-01-25T06:59:39+00:00,937472245,937472029,1,XARyz,A. R. Rahman,/* Interview */
2020-01-25T06:56:35+00:00,937472029,937471856,1,XARyz,A. R. Rahman,
2020-01-25T06:54:13+00:00,937471856,937470456,1,XARyz,A. R. Rahman,/* Interview */
2020-01-25T06:33:33+00:00,937470456,936415686,1,XARyz,A. R. Rahman,/* Awards */
2020-01-24T17:05:09+00:00,937377464,935002184,1,XARyz,Singappenney (song),
2020-01-22T04:30:39+00:00,936973946,936973877,1,XARyz,Bigil,/* Awards and nominations */
2020-01-22T04:29:54+00:00,936973877,936973811,1,XARyz,Bigil,
2020-01-22T04:29:01+00:00,936973811,936973718,1,XARyz,Bigil,
2020-01-22T04:28:00+00:00,936973718,936878963,1,XARyz,Bigil,
2020-01-18T10:00:16+00:00,936361376,936361261,1,XARyz,T-Series (company),/* List of artists */
2020-01-18T09:58:57+00:00,936361261,936280509,1,XARyz,T-Series (company),/* List of artists */
2020-01-18T07:16:47+00:00,936349216,936349050,1,XARyz,A. R. Rahman,/* Background scores */
2020-01-18T07:14:13+00:00,936349050,936178366,1,XARyz,A. R. Rahman,"For 99Songs,  le musk & one heart"
2020-01-18T07:11:27+00:00,936348884,929211763,1,XARyz,Sanchit Balhara and Ankit Balhara,/* Awards and nominations */
2020-01-18T05:04:26+00:00,936338792,936256551,1,XARyz,Love Aaj Kal (2020 film),
