timestamp,revid,parentid,sock,user,page,message
2008-03-04T16:30:44+00:00,195823678,195823218,1,Zerochanger,GunZ: The Duel,[[WP:Automatic edit summaries|←]]Redirected page to [[Gun]]
2008-03-04T16:28:15+00:00,195823218,195822067,1,Zerochanger,GunZ: The Duel,
2008-03-04T16:22:18+00:00,195822067,195821690,1,Zerochanger,GunZ: The Duel,
2008-03-04T16:20:24+00:00,195821692,195821444,1,Zerochanger,Talk:GunZ: The Duel/Archive 2,moved [[Talk:GvnZ: The Duel]] to [[Talk:GvnZ: The Duelz]]
2008-03-04T16:20:24+00:00,195821690,195821438,1,Zerochanger,GunZ: The Duel,moved [[GvnZ: The Duel]] to [[GvnZ: The Duelz]]
2008-03-04T16:18:58+00:00,195821444,194923762,1,Zerochanger,Talk:GunZ: The Duel/Archive 2,moved [[Talk:GunZ: The Duel]] to [[Talk:GvnZ: The Duel]]: ----\nVandalized\n----\n----\n\n----\n\n----\n\n----\n\n----\n\n----
2008-03-04T16:18:57+00:00,195821438,195821273,1,Zerochanger,GunZ: The Duel,moved [[GunZ: The Duel]] to [[GvnZ: The Duel]]: ----\nVandalized\n----\n----\n\n----\n\n----\n\n----\n\n----\n\n----
2008-03-04T16:18:00+00:00,195821273,195588604,1,Zerochanger,GunZ: The Duel,
2008-03-04T16:13:01+00:00,195820354,195549792,1,Zerochanger,MapleStory,
2008-02-29T17:17:30+00:00,194927155,194926665,1,Zerochanger,Ijji,
2008-02-29T17:10:43+00:00,194925734,193947644,1,Zerochanger,Ijji,
2008-02-29T17:05:32+00:00,194924673,194816473,1,Zerochanger,User talk:Persian Poet Gal/Rev Dump,
2008-02-29T17:00:12+00:00,194923450,194921193,1,Zerochanger,Talk:GunZ: The Duel/Archive 2,
2008-02-29T16:41:51+00:00,194919705,193964670,1,Zerochanger,Talk:GunZ: The Duel/Archive 2,/* Glitches */
2008-02-29T16:28:33+00:00,194917091,194714804,1,Zerochanger,Sonic the Hedgehog (character),
2008-02-29T16:15:51+00:00,194914817,194838342,1,Zerochanger,GunZ: The Duel,
2008-05-20T15:44:03+00:00,213720783,210671642,1,Cockon,Talk:GunZ: The Duel,/* ijji's response? */ new section
2008-05-20T15:41:10+00:00,213720224,213701734,1,Cockon,GunZ: The Duel,tried to reflect neutral pov
2008-04-28T15:39:33+00:00,208770243,208769479,1,Cockon,GunZ: The Duel,
2008-04-28T15:36:10+00:00,208769479,208750926,1,Cockon,GunZ: The Duel,[[WP:UNDO|Undid]] revision 208750926 by [[Special:Contributions/168.184.254.6|168.184.254.6]] ([[User talk:168.184.254.6|talk]])
2008-04-14T15:48:03+00:00,205571665,201880858,1,Cockon,Talk:Hell,
2008-04-14T15:35:35+00:00,205569161,205450855,1,Cockon,GunZ: The Duel,someone switch Gunz with GunS....
2008-03-19T20:02:21+00:00,199418103,199298205,1,Cockon,GunZ: The Duel,[[WP:UNDO|Undid]] revision 199298205 by [[Special:Contributions/NanoSpart|NanoSpart]] ([[User talk:NanoSpart|talk]]) trailer doesn't show triple bf and that
2008-03-12T15:29:21+00:00,197733654,197730860,1,Cockon,GunZ: The Duel,"found history section in history, deleted months ago, readded it"
2008-03-12T15:14:57+00:00,197730860,197484631,1,Cockon,GunZ: The Duel,"Corrected third-person shooter, it used to say first-person, which isn't correct"
2008-02-25T17:30:06+00:00,193964509,193960246,1,Darkthiefchanger,Talk:GunZ: The Duel/Archive 2,moved [[Talk:GunZ: The Duel]] to [[Talk:GunZ: TheWorst Game Ever]]: correct title
2008-02-25T17:30:06+00:00,193964507,193964416,1,Darkthiefchanger,GunZ: The Duel,moved [[GunZ: The Duel]] to [[GunZ: TheWorst Game Ever]]: correct title
2008-02-25T17:29:41+00:00,193964416,193964085,1,Darkthiefchanger,GunZ: The Duel,reverted vadilism again
2008-02-25T17:25:22+00:00,193963538,193963337,1,Darkthiefchanger,GunZ: The Duel,
2008-02-25T17:24:35+00:00,193963337,193962736,1,Darkthiefchanger,GunZ: The Duel,reverted vandelism to GunZ:The Worst Game Ever
2008-02-25T17:21:29+00:00,193962515,193961977,1,Darkthiefchanger,GunZ: The Duel,
2008-02-25T17:18:36+00:00,193961800,193960365,1,Darkthiefchanger,GunZ: The Duel,
2008-02-25T17:10:10+00:00,193960024,193959500,1,Darkthiefchanger,GunZ: The Duel,
2008-02-25T17:07:44+00:00,193959500,193959209,1,Darkthiefchanger,GunZ: The Duel,
2008-02-25T17:06:25+00:00,193959209,193956451,1,Darkthiefchanger,GunZ: The Duel,
2008-02-25T16:53:35+00:00,193956534,193624076,1,Darkthiefchanger,Metroid Prime 3: Corruption,
2008-02-25T16:46:59+00:00,193955013,193954735,1,Darkthiefchanger,GunZ: The Duel,
2008-02-25T16:45:53+00:00,193954735,193954015,1,Darkthiefchanger,GunZ: The Duel,
2008-02-25T16:42:43+00:00,193954019,193863821,1,Darkthiefchanger,Talk:GunZ: The Duel/Archive 2,"moved [[Talk:GunZ: The Duel]] to [[Talk:GunZ: The Worst Game Ever]]: Why? Because, there are HACKERS!! and, all of the problems Ijji doesnt help any1"
2008-02-25T16:42:41+00:00,193954015,193953658,1,Darkthiefchanger,GunZ: The Duel,"moved [[GunZ: The Duel]] to [[GunZ: The Worst Game Ever]]: Why? Because, there are HACKERS!! and, all of the problems Ijji doesnt help any1"
2008-02-25T16:41:04+00:00,193953658,193864924,1,Darkthiefchanger,GunZ: The Duel,
2008-02-21T16:30:32+00:00,193060086,193059652,1,Darkthiefchanger,GunZ: The Duel,
2008-02-21T16:28:26+00:00,193059652,193058297,1,Darkthiefchanger,GunZ: The Duel,/* Kill system */
2008-03-07T16:31:22+00:00,196557029,196556698,1,Fivechanger,User talk:Fivechanger,[[WP:Automatic edit summaries|←]]Redirected page to [[Homo]]
2008-03-07T16:29:09+00:00,196556626,196556118,1,Fivechanger,User talk:Fivechanger,[[WP:Automatic edit summaries|←]]Redirected page to [[Gunz]]
2008-03-07T16:27:23+00:00,196556282,196555835,1,Fivechanger,Ijji,[[WP:Automatic edit summaries|←]]Redirected page to [[Gunz]]
2008-03-07T16:26:58+00:00,196556188,196555831,1,Fivechanger,Yoshi,[[WP:Automatic edit summaries|←]]Redirected page to [[Insert text]]
2008-03-07T16:26:40+00:00,196556106,196555913,1,Fivechanger,MAIET Entertainment,[[WP:Automatic edit summaries|←]]Redirected page to [[Ijji]]
2008-03-07T16:25:46+00:00,196555924,196351327,1,Fivechanger,Bastard,[[WP:Automatic edit summaries|←]]Redirected page to [[User:Persian Poet gal]]
2008-03-07T16:23:28+00:00,196555454,196555186,1,Fivechanger,MAIET Entertainment,[[WP:Automatic edit summaries|←]]Redirected page to [[Ijji]]
2008-03-07T16:22:52+00:00,196555325,196263779,1,Fivechanger,Help,[[WP:Automatic edit summaries|←]]Redirected page to [[Hell]]
2008-03-07T16:21:45+00:00,196555102,196045767,1,Fivechanger,Pit (Kid Icarus),
2008-03-07T16:20:06+00:00,196554800,194045188,1,Fivechanger,MAIET Entertainment,
2008-03-07T16:29:11+00:00,196556632,196556032,1,Fourchanger,User talk:Fourchanger,[[WP:Automatic edit summaries|←]]Replaced page with 'I am a good boy'
2008-03-07T16:27:27+00:00,196556295,194932956,1,Fourchanger,Filler text,[[WP:Automatic edit summaries|←]]Redirected page to [[Qwerty]]
2008-03-07T16:26:53+00:00,196556161,188402984,1,Fourchanger,Silk Road (disambiguation),[[WP:Automatic edit summaries|←]]Redirected page to [[Yoshi]]
2008-03-07T16:25:51+00:00,196555945,191901442,1,Fourchanger,Diablo: Hellfire,[[WP:Automatic edit summaries|←]]Redirected page to [[Yoshi]]
2008-03-07T16:24:31+00:00,196555674,194542657,1,Fourchanger,Gopher (disambiguation),[[WP:Automatic edit summaries|←]]Redirected page to [[Diablo]]
2008-03-07T16:24:05+00:00,196555592,196539197,1,Fourchanger,Luigi,[[WP:Automatic edit summaries|←]]Redirected page to [[Gopher]]
2008-03-07T16:23:08+00:00,196555382,196538415,1,Fourchanger,Wario,[[WP:Automatic edit summaries|←]]Redirected page to [[Mario]]
